"rate"|"cv_text"|"country"|"user_skills"
"250"|"https://prezi.com/edr7wym3wty1/lawrencesfullscreendatascienceprezume/I am a high value, high quality data scientist whose passion is helping people leverage analytics to solve their toughest problems.  Young, energetic, but surprisingly experienced, I've assisted industry leaders such as $ALL and $JNJ gain deep insight into their customer segments, built algorithms that have served as the core workhorse for the minimum viable product of two startups, and have completed countless analysis and modeling tasks for small businesses and... Check out some of the cool stuff I've done:Completed several market segmentation studies that resulted in distinct customer profiles which were used to drive product feature selection and targeted marketing campaigns.Developed a formula that determines what social media share results are displayed on a user's private news feed as a function of the location, interaction history, relationship with the post's author, content type and time stamp.Fitted a HoltWinters Exponential Smoothing model onto individualized NBA player data to make next game predictions for points scored, rebounds and assists.Derived a modified ELO rating  system to create weekly NFL Power Rankings.  The rankings were able to achieve 57% accuracy in predicting the winners for the first 6 weeks of the 2013 season.Collected data on entrepreneurs and pitches for the first 5 seasons of Shark Tank to perform a meta analysis on who walks away with the best deals and from who.Mined text to determine how customer company interactions affected app conversion rates.Completed a word count across 5,000,000 rows using simple, efficient vectorized code in R.Designed a mobile game economy determining prices for in shop items.Statistical analysis on a Casino database to better understand when customers visit, what games they play, and how to increase revenue and reduce cost by replacing unprofitable games.Implemented a detection algorithm that extracts sentiment and emotion from text using a scored...Read More »"|"United States"|"Statistics;Data Science;Data Strategy;Management Consulting;Data Modeling"
"20"|"I'm a web developer in Serbia with 6 years of experience in the industry. I was worked in older frameworks, but nowadays I work with Zend Framework on a large scale web applications. When i have free time i develop my Cms with Zend Framework which I use as a core in my projects. The technologies I use for creating web applications: HTML(5), CSS(3) JavaScript, jQuery PHP, Zend Framework, Smarty, CodeIgniter mySQL Windows, Linux SVN, GIT, Sourcetree SEO (search engine optimisation)Read More »"|"Serbia"|"PHP5;jQuery;Javascript;MySQL Administration;HTML;HTML5;CSS;DHTML;Css3;Search Engine Optimization (SEO)"
"55"|"I'm a multiplatform (Windows, Linux, MacOSX, Android), multilanguage (C/C++/C#/Java) developer in the areas of computer vision, image processing, video encoding/decoding, 3D graphics and general multimedia applications. I have a PhD in Information Sciences and Technologies, field of Computer Graphics and Multimedia. To date, I've won 6 awards, participated in more than 40 international and national (Portugal) projects, have performed 20 communications in international and national (Portugal) conferences, 9 journal publications, 3 books... Multiplatform (Windows, Linux, MacOSX, Android), multilanguage (C/C++/C#/Java) developer in the areas of computer vision, image processing, video encoding/decoding, 3D graphics and general multimedia applications. I've worked extensively with the following libraries and technologies: OpenCV, libAV (ffmpeg), libVLC, FreeImage, Gandalf, QT, ImageMagick, DirectX/DirectShow, MFCs, OpenGL and OpenAL.Read More »"|"Portugal"|"C++;English;C#;FFMPEG;Video Transcoding;Microsoft Visual Studio;QT;XCode;SQL Programming;Java"
"38"|"Over the last 8 years, I have developed wide range of websites using PHP, MyQL, GNU/Linux and Apache.I am  committed to provide my innovative services in the field of web development.For the last 5 years I have been providing ELearning development/design services to various universities and institutes using Moodle, Joomla and Jomsocial.Moodle services:Course FormatMoodle Core Customization.Theme development.Creating new modules and Plugins.Course/SCROM developmentJoomla services:Theme Development.CustomizationsNew... Areas Of Expertise: MOODLEJOOMLAWORDPRESSPrestashopVirtuemart XML PHP CSS Java JavaScript JQuery Xsl HTML DHTMLRead More »"|"Pakistan"|"Moodle Developer;Moodle;Moodle Expert;learning management systems;e-learning;Joomdle;Joomla!;PHP5;CSS"
"45"|"I have been developing iOS apps for 2009 , so, it's been 6 years.So, I know most of technology of iOS (to iOS8) and I am very familiar with some of them.So, I have developed 30 apps from scratch for 6 years and most of them is on the itunes.And I can lead multiple coders to complete any mobile projects. My UI/UX experience will contiributes to making Awesome apps. 1. iPhone, iPad, iWatch ,Backend API programming2. CoreData, CoreGraphics programming3. iCloud, CloudKit, HealthKit porgramming4.UI Design from Mockup or PSD file5. UX design 6. Overall Architecture design of iOS Apps7. Swift Programming8. Android, Windows programming9. WordPress, Shopify, Droplet, Amazon web service.10.GitHub,Bitbucket support.Read More »"|"China"|"iPhone App Development;iPhone SDK;iPad App Development;Swift;Objective-C;WatchKit;iOS 6;iOS Development"
"16"|"A team of mobile apps geeks. We now have taken up a journey to make things simple for those who want their ideas to be created and published on the mobile  Our services include :     iPhone/iPad (iOS) Application development : We have been creating apps for the  iPhone and iPad platform for over three years and have more than a 200 apps under our belt.     iPhone/iPad (iOS) Application design: With our vast experience and also our approach in having really simple but intuitive UX experiences we try to bring the best design out for our clients     Android Application development: We are well versed with porting iOS applications and games on the android platforms as well.     Application design: We have cultivated a team of highly skilled designers who design apps which give a total wow factor on both Android devices and tablets.    Backend Application development:  We have a strong team which supports backend development as well as most of the mobile applications being dependent on a stable backend platform.Read More »"|"India"|"iOS 7;Android;iOS 6;iPhone App Development;Java;OOPS;Mac OSX Administration;Objective C;iOS Development"
"33"|"More than 10 year experiences in MetaTrader, NinjaTrader,StrategyTrader, TradeStation, MultiChart, Interactive Brokers, ForexTester, JForex, FIX protocol, ThinkOrSwim,MathLab  Develop forex trading expert advisors for MT4/5, NinjaTrader, Dukascopy, JForex, TradeStation, StrategyTrader, MultiChart, ForexTester,ThinkOrSwim Develop financial applications: stock screeners, stock analysis Develop applications and websites in variety of different technologies: PHP,.NET Interactive Brokers, FIX protocol, MathLab, Algorithm Trade CopiersRead More »"|"Vietnam"|"NinjaTrader;TradeStation;C++"
"30"|"*10 years experience of web application analysis, design, develop and implementation*6 years experience of database design and development*CoFounder of 55tuan.com which is one of the most popular group buying website in China*Strong background working with clients and internal supports to identify requirements, provide analysis, assist with creatingcustomized workflow and develop implementation timelines*Great communication, presentation, and interpersonal skills=============================================================1. Once... Skill Sets:===============1. Master. Net Framework architecture and ASP.Net, C # technology(8 years+)2. Master  JavaScript, Node.js(10 years+ for JS) 3. Master MongoDB,PostgreSQL,Redis.(3 years+)4. Master Angular.js,Bootstrap(each for 2 years+)5.Master iOS, Android (2 years+)6. Master Swift(apple Inc.) (1 year)7. Golang (1 year+)Service Offered:===============    My custom development solutions are designed to fit my clients business requirements, to help them achieve their organizational goals and objectives. Focusing on quality Web, Mobile applications development  at low costs and serving a base of highly satisfied clients across the Globe.    I offer you for website development and mobile development. I have been experienced strongly with Web application development and great skill set for customization and providing assured quality service for you.    Also in Android Phone Apps Development ,iPhone Apps Development and Windows Phone Apps Development, I have been experienced in these.Read More »"|"China"|"C#;MongoDB;Javascript;Node.js;AngularJS;Redis"
"38"|"Over 25 years of sales experience of which over 18 years specializing in B2B sales reaching High Level Executives, C Level Executives, attorneys, managing partners of large firms, owner, founder, CEO's of businesses, insurance agents, financial planners, financial advisers mortgage brokers and import, distribution, wholesale in floral industry nationwide. I have attended many sales seminars (e.g. Brian Tracy`s Psychology of Sales and Zig Ziglar just to name a few) have excellent closing and follow up skills and truly love my career as an... My strength, worth and expertise lies in generating revenue for a Company by acquiring new customers continually prospecting via Cold, Warm or Hot Leads, upselling and or maintaining existing ones through the following proven skills:Polished, Seasoned and Proven Sales Professional.Ability to deliver a pitch naturally and with precision without sounding scripted.Effective at delivering the Front, Drive and Close of a Pitch.High Energy and Enthusiasm.Heavy Outbound Calling.A Knack for getting past the Gatekeeper.Able to identify and reach Decision Maker, relay value and benefit of product or service and close the deal.Excellent and Fearless Closer.Expert in Engaging clients and Building Rapport for Maximum results.Professional at ALL Times.I strive to be a consistent top producer and exceed set expectations and take great pride when I meet or exceed a client`s expectations.I have been very fortunate to work with a few companies that have paid for various sales seminars throughout my career and I have taken full advantage of that education and knowledge in applying those skills not only for success in sales but in life.* Whether you are looking for a one call closer, a sales professional to grow, nurture and manage a book of business or a fearless cold caller, I know I can apply these skills to increase your revenue! *I am money motivated and prefer projects that offer commission/bonus along with a Fixed Price/ Base.I work very hard for my...Read More »"|"United States"|"Sales;Telemarketing;Cold-Calling;Lead Generation;Account Management;Phone Support;English Spelling;English;Spanish;Business Development"
"33"|"I can get the job done right, the first time! A seasoned professional with 13+ years experience. I have extensive experience in high tech companies holding both production and marketing positions. My marketing experience spans social media, publishing, ad design and sales. I have also held sales and technology positions within the real estate service industry. BS in Business, with a Concentration in Marketing I have 12+years of experience in marketing, sales and public relations. Past job experience includes the following: Social media (YouTube, Facebook, Twitter, Pinterest, LinkedIn, etc.), real estate, marketing, website content writing, blog writing, brand strategy, launching a new brand/ product. A PR expert with emphasis in business/marketing plan design and implementation, effective product positioning, media planning, marketing campaign management, experience in crowdfunding campaigns, training applications, market research, lead generation, software quality assurance, newspaper production, ad sales, direct mail planning, script writing, screenplay writing experience and market segmentation planning. I pride myself on quality work done in a timely matter and am always available to answer questions. High attention to detail, strong interpersonal skills, hardworking, excellent organizational skills, works independently, strong written and verbal communication skills.Read More »"|"United States"|"Article Writing;Blogging;Business Writing;Copywriting;Ghostwriting;Newsletter Writing;Online Writing;Press Release Writing;Proposal Writing;Report Writing"
"30"|"I have over five years of experience as a freelance writer working for various clients. I am also a staff writer for Coquí Prose. No topic is out of bounds for me. I have written on education, science, pets, business, personal finance, classic cars, food, travel, and much more. I also have experience integrating SEO terms in a seamless manner. In addition to writing, I run a pet sitting business. My previous day job was as a high school science teacher and I hold a master's degree in chemistry."|"United States"|"English;Microsoft Access Administration;Academic Writing;Creative Writing;Article Writing;Ghostwriting;English Punctuation"
"60"|"I am a bestselling author of eleven books and have been writing professionally for over ten years. I write novels in a number of genres (comedy, horror, suspense, fantasy) and short stories in all genres. I also have an abundance of experience writing articles, news, content, reviews, descriptions and blogs on a wide variety of topics.I have picked up a few tricks along the way and, as well as writing your book, I can also help you publish it and promote it. I provide creative writing services, from Ghostwriting to Content Writing and everything in between. I can also offer help with ebook marketing. Samples of my work are available on request.Read More »"|"United Kingdom"|"Creative Writing;Article Writing;Fiction Writing;Non-Fiction Writing;Ghostwriting;Copywriting;Online Writing;Blogging;English;Email;Content Writing;Writing;Sales Writing;English Spelling;Internet Marketing"
"44"|"Ultimately it's true for any artist, writer or composer...that we are our own product. So anything I say here to further induce you is moot, until you discover who I really am and what I can do for you. So, let's start here and now: resume and website!O.K. We both know that resumes are mostly boilerplateMine is not. If you truly want to find out all about me You can go to my website: www.robertjosephahola.com/Go to About Robert and draw down on Resumé Or just click on (or copy and paste) this link: this link:... Four things about me tell everything: 1) I'm a very quick study. I'm really fun to work with. And I never miss a deadline. 2) I know which questions to ask, and will challenge you with fresh thinking and original concepts you never thought of before. 3) I love pressure. It restores me and rewards you. So bring it on. I'm available 24/7. And I promise you I will exceed expectations. My credo is simple: Success takes more than just thinking outside the box. It means first defining the box  and then building one of our own that is so very original it will redefine the genre. That's what making impact is all about...courage and imagination—the perfect cocktail! Let's do more than bring out a product or a service. Let's make history. Read More »"|"United States"|"Creative Writing;Ghostwriting;Brand Consulting;Screenwriting;Journalism Writing;Copywriting;Editing;Englsh;WordPress"
"50"|"If you're seeking highquality, relevant, interesting and informative health, fitness or nutrition texts that are also sciencebased and accurate, look no further!Nutrition is a passion of mine  in fact, this is why I became a registered dietitian in the first place! With so much information out there, it's sometimes hard to see the forest from the trees. I take great pleasure in efficiently translating sciencebased nutrition information into interesting and easy to understand texts which have the ability to drive traffic and reach as... I am a Canadianregistered dietitian, now living in the Netherlands, and hold a Bachelor's Degree in Dietetics, a major in Psychology as well as a Masters Degree in Sport Nutrition. In addition, I have a varied portfolio of work experiences, including: Nutrition counselling,  Research & development of medical nutrition products,  Scientific / medical writing,  Provision of professional written content for nutrition conferences, bogs and print publications. My particular combination of skills and varied work experiences makes me versatile in the nutrition field. This allows me to research and write on a variety of topics, catering to your specific needs. I am particularly effective at vulgarizing scientific information to make it more accessible to the general public. In addition, I work particularly well with short deadlines and am regularly described as communicative with a developed ability to integrate feedback into my work output.My aim is to deliver relevant and interesting content that will drive traffic and provide visibility. I'd be more than happy to discuss how my professional expertise can be of benefit to your projects via either Elance or email.Read More »"|"Netherlands"|"Scientific Writing;Scientific Research;Nutrition;Microsoft Word;French;Ghostwriting;Content Writing"
"55"|"Founded by Michael Barton in 2011, MBWS Limited offers a unique experience to clients. As an individual writer on the Elance Platform, MBWS is ranked in the top ten of all freelance writers on the Elance platform. The company is ranked in the top ten of all freelance writing companies on the Elance platform.MBWS Limited uses only writers who are specialists in their particular field. Career and life experience, as well as honed research skills, puts each one in prime position to write the informed quality copy that our clients deserve.Michael has (probably) the most comprehensive investment background of all writers on the Elance platform. Two decades of global financial markets, buy and sell side across multiple instruments, are augmented with 5 years personal financial advice experience.Subject Specialists at MBWS Limited all have equally distinguished backgrounds in their individual fields of expertise. Founded in 2011 by Michael Barton, MBWS Limited provides quality content creation and related writing services for clients that expect the very best from their freelance workforce.The company’s writers are handpicked for their career and life experience that satisfies the exacting requirements to be considered a subject specialist in their particular field of expertise. We also insist on a work ethic that will enhance the client experience: we care about the reputation of the client and, in turn, our reputation. Apart from subject specialisation, our writers are not only jobbing writers but also have a passion for the art: many are published or about to be, and/or have been/ are journalists.We will never take on a project that we believe to be out of the scope of one of our subject specialists. This means that we will only ever make a proposal where we know we will give the client the very best work possible.The company bids on projects on behalf of its subject specialists only if he or she wishes to take a project on. This means that a client knows the writer at MBWS Limited cares about the project from the outset, and the work will benefit for this.All proposals and accepted projects are controlled by Michael, which means that a client has one point of contact for queries and questions. However, we also realise that some projects call for direct contact with a writer and we allow this also. Flexibility of approach is one of the key features of our service....Read More »"|"United Kingdom"|"Article Writing;Blog Writing;Blogging;Book Writing;Content Writing;Copywriting;Creative Writing;English Grammar;English Spelling;Fiction Writing;Financial Writing;Ghostwriting;Microsoft Word;Online Writing;Short Story Writing"
"10"|"Collaborating with SEO companies for over 5 years, I've gained a huge experience in writing and research. I can write quality content on most topics, and for almost any purpose. If you are looking for website content, blog posts, creative writing, press releases, amazon/ebay product descriptions, or anything else related to writing, I’m the person you can rely on. In addition to that, I have a lot of experience in WordPress, SEO (keyword research, onpage analysis, linkbuilding), and social media marketing. I always provide high quality service taking into account all the requirements my clients have. The content I provide is easytoread, informative, unique (pass Copyscape), and delivered in time.Read More »"|"Ukraine"|"Copywriting;Creative Writing;Article Writing;Search Engine Optimization (SEO);Ghostwriting;Translation Russian English;Content Writing;Business Writing;English-Russian Translation;English-Ukrainian Translation;Google Webmaster Central;Google Analytics;Ukrainian;Translation Ukrainian English"
"47"|"Licensed, awardwinning physical therapist.Aren't you tired of redoing the work you hired out? A 5 star average: \"Wow! Amazed at the quality of your work Andrea! I'm adding you to my list of top notch writers/researchers for future projects. Thanks again for such an impeccable job.\" (1/9/15)Grantwriter, National Swimming Pool FoundationGrantwriter, Aquatic Therapy UniversityFreelance writer x 20 years with > 600 articles to datePhysical therapist. Awardwinning.Managing editor. Physical therapy journal, 3 yearsAs adjunct faculty... My specialty? Transforming medical, educational and rehabilitation facts into pithy, imminently readable information for the rest of the world. I speak you.I specialize in creating evidencebased training manuals, healthrelated grant applications, continuing education material, and seminars. My expertise includes:Academic WritingArticle WritingBusiness WritingGrant WritingMedical WritingTesting and Exam CreationWeb ContentBrief highlights:Over 600 solicited articles in printAward winning physical therapist, American Physical Therapy Association Aquatic Therapy Professional of the YearPaid monthly columnist for 3 magazinesAdjunct faculty, St. Catherine UniversityRehab director, Regions Hospital therapeutic poolGrant writer, Aquatic Therapy University/National Swimming Pool FoundationKey words: grant writing, physical therapy, occupational therapy, rehabilitation, education, exercise, fitness, aquatic therapy, medical writingRead More »"|"United States"|"Article Writing;Technical Writing;Physical Therapy;Ghostwriting;Medical Writing;Business Writing;Grant Writing;Journalism Writing;English;English Spelling"
"22"|"Professional writer specializing in, but not limited to, creative, article, and educational writing.  I am a native English speaker with a very diverse resume and writing skills that will prove valuable to you as an employer or contractor.  I am very professional and looking to work.   I am a strong communicator and am on Elance daily, ready to respond and deliver superb work within reasonable deadlines.I am an extremely detailoriented person who is willing and ready to tailor my skills and abilities to your specific instructions and... Prior services I have offered to clients:Short storiesMovie reviewsMusic reviewsLesson plansProofreading/EditingLiterary analysisEditorialsArticlesPop culture piecesQuizzes and pollsSpeechesEbooksSpecialties:Creative writingTelevision & filmNostalgic pop cultureBeer, wine, and spiritsEducation & career servicesRomance writingOther areas of proven success:Relationship counselingLifestyleTravel blogsEntertainment news and editorializingSkills/Qualities:ReliableProfessionalUniqueFriendly/PersonableCreativeFunnyRead More »"|"United States"|"Creative Writing;Academic Writing;English;Article Writing;English Grammar;English Spelling;Ghostwriting;Comedy Writing;Content Writing;Article Rewriting;Bartending;Biography Writing;Blog Writing;Blogging;Book Writing"
"27"|"As a freelance professional with a degree in history and economics,  I write financial blogs, business articles and website content. In the past, I have worked as a ghostwriter for spirituality and business leadership. My current freelance clients include professionals in real estate, finance, religion, travel and global leadership coaching. I also do Spanish and Italian translations.   I put 100% effort into each job and assignment I carry out. I write for the client, so I am always open to new ideas and will do revisions until each piece is perfect. I primarily write articles on science, real estate, finance, spirituality and travel. When it comes to fiction, most of my work has centered around romance novels. Although I have focused on these subjects in the past, I am always open to learning new things for new project types. When you work with me, you can expect: Two revision requests with each project Projects submitted on the deadline Continuous communication A highquality of writingIn return, I ask for the escrow account to be funded before beginning because it   makes my side of the business safer.  Once the project is complete, you have one month to ask for revisions and complete the payment process. Read More »"|"United States"|"Financial Writing;English;Article Writing;Business Writing;Report Writing;Technical Writing;Creative Writing;Translation Spanish English;Academic Writing;Ghostwriting"
"16"|"I have over 15 years experience as both an editor and writer for the children's sector. I have produced work for a wide range of publications and clients, including; preschool picture books, gaming guides for games such as Skylanders and numerous stories for Disney/Pixar publications amongst others. Writing for children is my passion and I would love the opportunity to work with you on your projects."|"United Kingdom"|"Creative Writing;Ghostwriting;Children's Writing"
"25"|"I have published many novels, short stories, and articles for pay in many genre. I have a Masters degree in education and taught for sixteen years before becoming a writer full time."|"United States"|"Content Writing;Creative Writing;Online Writing;Ghostwriting;Article Writing"
